antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str,antecedent_len,consequent_len
0.007119492014623821,0.006542235905329998,0.005387723686742351,0.7567567567567567,115.6724960254372,1.0,0.005341146290456569,4.084215252389198,0.9984634551495016,0.6511627906976744,0.7551549224994896,0.7901430842607312,"Charcoal Bag, Ground Beef","BBQ Sauce, Burger Buns",2,2
0.006542235905329998,0.007119492014623821,0.005387723686742351,0.8235294117647057,115.67249602543718,1.0,0.005341146290456569,5.626322878583793,0.9978832904457542,0.6511627906976744,0.8222640218878248,0.7901430842607312,"BBQ Sauce, Burger Buns","Charcoal Bag, Ground Beef",2,2
0.009236097748701174,0.007504329420819703,0.005387723686742351,0.5833333333333333,77.73290598290598,1.0,0.0053184129666732066,2.381989609390032,0.9963377077379798,0.4745762711864406,0.5801828874240661,0.6506410256410255,"Burger Buns, Charcoal Bag","BBQ Sauce, Ground Beef",2,2
0.007504329420819703,0.009236097748701174,0.005387723686742351,0.7179487179487178,77.73290598290596,1.0,0.0053184129666732066,3.512708380709149,0.9945992355841136,0.4745762711864406,0.7153193799144468,0.6506410256410255,"BBQ Sauce, Ground Beef","Burger Buns, Charcoal Bag",2,2
0.006349817202232057,0.01885703290359823,0.006349817202232057,1.0,53.03061224489796,1.0,0.0062300784903177335,inf,0.987412858249419,0.336734693877551,1.0,0.6683673469387755,"Parmesan Cheese, Tomato Pasta Sauce",Spaghetti,2,1
0.01885703290359823,0.006349817202232057,0.006349817202232057,0.336734693877551,53.03061224489795,1.0,0.0062300784903177335,1.4981187371412503,1.0,0.336734693877551,0.33249616655337577,0.6683673469387755,Spaghetti,"Parmesan Cheese, Tomato Pasta Sauce",1,2
0.005772561092938233,0.02212815085626323,0.005387723686742351,0.9333333333333332,42.178550724637674,1.0,0.005259987584050818,14.66807773715603,0.9819596892366391,0.2393162393162393,0.9318247409156499,0.5884057971014492,"BBQ Sauce, Burger Buns, Ground Beef",Charcoal Bag,3,1
0.006542235905329998,0.02212815085626323,0.005964979796036175,0.9117647058823529,41.20383631713555,1.0,0.005820212212985771,11.082547623629015,0.9821559108545296,0.2627118644067796,0.9097680394471838,0.5906649616368287,"BBQ Sauce, Burger Buns",Charcoal Bag,2,1
0.02212815085626323,0.006542235905329998,0.005964979796036175,0.26956521739130435,41.20383631713555,1.0,0.005820212212985771,1.3600909865581792,0.9978101077807824,0.2627118644067796,0.2647550716216558,0.5906649616368287,Charcoal Bag,"BBQ Sauce, Burger Buns",1,2
0.009428516451799115,0.01539349624783529,0.005387723686742351,0.5714285714285714,37.12142857142857,1.0,0.005242585854118928,2.2974151754217176,0.9823232323232323,0.2772277227722772,0.5647282168681426,0.4607142857142857,"BBQ Sauce, Charcoal Bag","Burger Buns, Ground Beef",2,2
0.01539349624783529,0.009428516451799115,0.005387723686742351,0.35,37.12142857142857,1.0,0.005242585854118928,1.5239561285356937,0.9882743795192496,0.2772277227722772,0.3438131313131313,0.4607142857142857,"Burger Buns, Ground Beef","BBQ Sauce, Charcoal Bag",2,2
0.007504329420819703,0.02212815085626323,0.005580142389840293,0.7435897435897436,33.60379041248606,1.0,0.0054140854563413,3.813700211660574,0.9775775160112847,0.232,0.7377874650601923,0.49788182831661093,"BBQ Sauce, Ground Beef",Charcoal Bag,2,1
0.02212815085626323,0.007504329420819703,0.005580142389840293,0.25217391304347825,33.60379041248606,1.0,0.0054140854563413,1.3271744432163457,0.9921969357706035,0.232,0.24651954751588917,0.49788182831661093,Charcoal Bag,"BBQ Sauce, Ground Beef",1,2
0.005580142389840293,0.032133923417356165,0.005387723686742351,0.9655172413793103,30.046665290109434,1.0,0.00520841181852928,28.068116220896613,0.9721431335692172,0.16666666666666663,0.9643723863714265,0.5665909560189965,"BBQ Sauce, Charcoal Bag, Ground Beef",Burger Buns,3,1
0.006349817202232057,0.02867038676159323,0.005387723686742351,0.8484848484848484,29.594468171649375,1.0,0.00520567197168894,6.410775447373481,0.9723843642801814,0.1818181818181818,0.8440126302646112,0.5182021557860483,"Burger Buns, Charcoal Bag, Ground Beef",BBQ Sauce,3,1
0.007119492014623821,0.032133923417356165,0.006349817202232057,0.8918918918918919,27.755462048875224,1.0,0.0061210399910636565,8.952761208389454,0.9708832511158093,0.1929824561403509,0.8883026167320401,0.5447483411555267,"Charcoal Bag, Ground Beef",Burger Buns,2,1
