antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str,antecedent_len,consequent_len,actionability_score,novelty,consequent_price,antecedent_support_count,baskets_missing_consequent,estimated_incremental_baskets_per_period,estimated_incremental_revenue_per_period,business_insight,recommended_action
0.01885703290359823,0.049259187993072925,0.015008658841639407,0.7959183673469388,16.157764668367346,1.0,0.0140797767128495,4.658629978833942,0.9561402185446116,0.2826086956521739,0.7853446175069907,0.5503029336734694,Spaghetti,Tomato Pasta Sauce,1,1,8.609078114004223,Obvious (known pattern),3.1,98.0,20.0,4.0,12.4,Customers who buy **Spaghetti** buy **Tomato Pasta Sauce** 80% of the time — that's 16.16x more often than if the two were unrelated (lift=16.16). Closing this gap for even a fraction of missed baskets could add roughly **$12** in incremental revenue over the analysis period.,"High priority: co-locate Tomato Pasta Sauce next to Spaghetti, or bundle them at a small discount; this is a strong, reliable pattern."
0.022705406965557052,0.049259187993072925,0.01520107754473735,0.6694915254237288,13.591201006355933,1.0,0.014082627634561747,2.87660040555942,0.9479464959961719,0.2677966101694916,0.6523674271659823,0.4890426377118644,Penne,Tomato Pasta Sauce,1,1,8.38208649912332,Obvious (known pattern),3.1,118.0,39.0,7.8,24.18,Customers who buy **Penne** buy **Tomato Pasta Sauce** 67% of the time — that's 13.59x more often than if the two were unrelated (lift=13.59). Closing this gap for even a fraction of missed baskets could add roughly **$24** in incremental revenue over the analysis period.,"High priority: co-locate Tomato Pasta Sauce next to Penne, or bundle them at a small discount; this is a strong, reliable pattern."
0.0173176832788147,0.028093130652299403,0.012314796998268231,0.7111111111111111,25.312633181126333,1.0,0.011828289059321349,3.3642930092805026,0.9774206970824358,0.3720930232558139,0.702760729448514,0.5747336377473364,Diapers Pack,Baby Wipes,1,1,8.077394636015326,Noteworthy,4.6,90.0,25.999999999999996,5.2,23.92,Customers who buy **Diapers Pack** buy **Baby Wipes** 71% of the time — that's 25.31x more often than if the two were unrelated (lift=25.31). Closing this gap for even a fraction of missed baskets could add roughly **$24** in incremental revenue over the analysis period.,"High priority: co-locate Baby Wipes next to Diapers Pack, or bundle them at a small discount; this is a strong, reliable pattern."
0.006349817202232057,0.01885703290359823,0.006349817202232057,1.0,53.03061224489796,1.0,0.0062300784903177335,inf,0.987412858249419,0.336734693877551,1.0,0.6683673469387755,"Parmesan Cheese, Tomato Pasta Sauce",Spaghetti,2,1,7.853448275862069,Obvious (known pattern),1.9,33.0,0.0,0.0,0.0,"Customers who buy **Parmesan Cheese, Tomato Pasta Sauce** buy **Spaghetti** 100% of the time — that's 53.03x more often than if the two were unrelated (lift=53.03).","High priority: co-locate Spaghetti next to Parmesan Cheese, Tomato Pasta Sauce, or bundle them at a small discount; this is a strong, reliable pattern."
0.006349817202232057,0.049259187993072925,0.006349817202232057,1.0,20.30078125,1.0,0.00603703036294566,inf,0.9568164213787761,0.12890625,1.0,0.564453125,"Parmesan Cheese, Spaghetti",Tomato Pasta Sauce,2,1,7.853448275862069,Obvious (known pattern),3.1,33.0,0.0,0.0,0.0,"Customers who buy **Parmesan Cheese, Spaghetti** buy **Tomato Pasta Sauce** 100% of the time — that's 20.3x more often than if the two were unrelated (lift=20.3).","High priority: co-locate Tomato Pasta Sauce next to Parmesan Cheese, Spaghetti, or bundle them at a small discount; this is a strong, reliable pattern."
0.02578410621512411,0.03348085433904176,0.012892053107562055,0.5,14.933908045977011,1.0,0.012028779203111104,1.9330382913219164,0.9577325696227533,0.2780082987551867,0.48267967350189134,0.44252873563218387,Peanut Butter,Strawberry Jam,1,1,7.732758620689655,Obvious (known pattern),3.6,134.0,67.0,13.4,48.24,Customers who buy **Peanut Butter** buy **Strawberry Jam** 50% of the time — that's 14.93x more often than if the two were unrelated (lift=14.93). Closing this gap for even a fraction of missed baskets could add roughly **$48** in incremental revenue over the analysis period.,"High priority: co-locate Strawberry Jam next to Peanut Butter, or bundle them at a small discount; this is a strong, reliable pattern."
0.049259187993072925,0.022705406965557052,0.01520107754473735,0.30859375,13.591201006355933,1.0,0.014082627634561747,1.4134882249537706,0.9744222329821002,0.2677966101694916,0.29253036399881865,0.4890426377118644,Tomato Pasta Sauce,Penne,1,1,7.660290948275862,Obvious (known pattern),1.9,256.0,177.0,35.4,67.26,Customers who buy **Tomato Pasta Sauce** buy **Penne** 31% of the time — that's 13.59x more often than if the two were unrelated (lift=13.59). Closing this gap for even a fraction of missed baskets could add roughly **$67** in incremental revenue over the analysis period.,Feature 'Penne' in a 'frequently bought with Tomato Pasta Sauce' recommendation slot online and on receipts.
0.005580142389840293,0.032133923417356165,0.005387723686742351,0.9655172413793103,30.046665290109434,1.0,0.00520841181852928,28.068116220896613,0.9721431335692172,0.16666666666666663,0.9643723863714265,0.5665909560189965,"BBQ Sauce, Charcoal Bag, Ground Beef",Burger Buns,3,1,7.655172413793103,Obvious (known pattern),2.8,29.0,1.000000000000002,0.2,0.56,"Customers who buy **BBQ Sauce, Charcoal Bag, Ground Beef** buy **Burger Buns** 97% of the time — that's 30.05x more often than if the two were unrelated (lift=30.05). Closing this gap for even a fraction of missed baskets could add roughly **$1** in incremental revenue over the analysis period.","High priority: co-locate Burger Buns next to BBQ Sauce, Charcoal Bag, Ground Beef, or bundle them at a small discount; this is a strong, reliable pattern."
0.007119492014623821,0.032133923417356165,0.006349817202232057,0.8918918918918919,27.755462048875224,1.0,0.0061210399910636565,8.952761208389454,0.9708832511158093,0.1929824561403509,0.8883026167320401,0.5447483411555267,"Charcoal Bag, Ground Beef",Burger Buns,2,1,7.637232059645854,Obvious (known pattern),2.8,37.0,4.0,0.8,2.24,"Customers who buy **Charcoal Bag, Ground Beef** buy **Burger Buns** 89% of the time — that's 27.76x more often than if the two were unrelated (lift=27.76). Closing this gap for even a fraction of missed baskets could add roughly **$2** in incremental revenue over the analysis period.","High priority: co-locate Burger Buns next to Charcoal Bag, Ground Beef, or bundle them at a small discount; this is a strong, reliable pattern."
0.00673465460842794,0.10583028670386761,0.00673465460842794,1.0,9.44909090909091,1.0,0.006021924180366487,inf,0.900232468035645,0.06363636363636364,1.0,0.5318181818181819,"Burger Buns, Ketchup",Ground Beef,2,1,7.629717868338558,Obvious (known pattern),6.9,35.0,0.0,0.0,0.0,"Customers who buy **Burger Buns, Ketchup** buy **Ground Beef** 100% of the time — that's 9.45x more often than if the two were unrelated (lift=9.45).","High priority: co-locate Ground Beef next to Burger Buns, Ketchup, or bundle them at a small discount; this is a strong, reliable pattern."
